Zone,State,City,Name,Type,Google review rating,Best Time to visit,time needed to visit in hrs,Airport with 50km Radius,Category,Category_ID
Western,Gujarat,Ahmedabad,Science City,Science,4.4,Anytime,7.0,Yes,Historical,1
Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,4.4,Morning,1.0,Yes,Historical,1
Northern,Rajasthan,Udaipur,City Palace,Palace,4.4,Anytime,2.0,Yes,Historical,1
Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,4.4,Anytime,2.5,No,Historical,1
Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,4.6,Anytime,3.0,No,Nature,0
Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,4.4,Anytime,1.5,No,Religious,2
Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,4.6,Anytime,1.0,Yes,Religious,2
Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,4.6,Anytime,2.0,Yes,Historical,1
Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,4.6,Anytime,2.0,No,Historical,1
Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,4.6,Anytime,1.0,No,Religious,2
Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,4.5,Anytime,2.0,Yes,Historical,1
Northern,Rajasthan,Jaipur,Amber Fort,Fort,4.6,Anytime,2.0,Yes,Historical,1
Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,4.5,Anytime,1.5,Yes,Historical,1
Northern,Rajasthan,Udaipur,Lake Pichola,Lake,4.6,Anytime,1.0,Yes,Nature,0
Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,4.9,Anytime,1.5,Yes,Religious,2
Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,4.8,Afternoon,1.0,Yes,Historical,1
Northern,Punjab,Amritsar,Wagah Border,Border Crossing,4.8,Evening,2.0,Yes,Historical,1
Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,4.5,Anytime,2.0,Yes,Historical,1
Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,4.5,Anytime,1.5,Yes,Nature,0
Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,4.3,Anytime,2.0,No,Nature,0
Southern,Kerala,Kochi,Fort Kochi,Site,4.4,Anytime,1.0,Yes,Historical,1
Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,4.7,Anytime,1.0,Yes,Religious,2
Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,3.9,Anytime,1.5,Yes,Nature,0
Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,4.5,Anytime,3.0,No,Nature,0
Southern,Kerala,Thekkady,Periyar National Park,National Park,4.3,Anytime,3.0,No,Nature,0
Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,3.8,Anytime,2.0,Yes,Nature,0
Southern,Kerala,Varkala,Varkala Beach,Beach,4.6,Anytime,2.0,Yes,Nature,0
Southern,Kerala,Bekal,Bekal Fort,Fort,4.5,Anytime,1.5,No,Historical,1
Southern,Kerala,Kovalam,Kovalam Beach,Beach,4.4,Anytime,2.0,Yes,Nature,0
Southern,Kerala,Kannur,St. Angelo Fort,Fort,4.4,Anytime,1.0,Yes,Historical,1
Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,4.5,Morning,1.0,No,Nature,0
Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,4.4,Anytime,1.5,Yes,Historical,1
Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,4.6,Anytime,5.5,Yes,Urban,4
Southern,Karnataka,Mysore,Mysore Palace,Palace,4.6,Anytime,2.0,Yes,Historical,1
Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,4.7,Anytime,3.0,No,Historical,1
Southern,Karnataka,Coorg,Abbey Falls,Waterfall,4.1,Morning,1.0,No,Nature,0
Southern,Karnataka,Gokarna,Om Beach,Beach,4.5,Anytime,2.0,No,Nature,0
Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,4.5,Anytime,3.0,No,Nature,0
Southern,Karnataka,Badami,Badami Cave Temples,Cave,4.6,Anytime,1.5,No,Nature,0
Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,4.6,Morning,1.5,No,Nature,0
Southern,Karnataka,Mangalore,Panambur Beach,Beach,4.5,Anytime,1.5,Yes,Nature,0
Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,4.7,Anytime,1.0,Yes,Religious,2
Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,4.5,Anytime,1.5,No,Historical,1
Southern,Karnataka,Bandipur,Bandipur National Park,National Park,4.4,Morning,3.0,No,Nature,0
Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,4.7,Anytime,1.0,No,Religious,2
Western,Maharastra,Pune,Shaniwar Wada,Fort,4.4,Anytime,2.0,Yes,Historical,1
Western,Maharastra,Aurangabad,Ajanta Caves,Cave,4.6,Afternoon,3.0,Yes,Nature,0
Western,Maharastra,Nashik,Sula Vineyards,Vineyard,4.1,Afternoon,2.0,Yes,Nature,0
Western,Maharastra,Shirdi,Sai Baba Temple,Temple,4.7,Anytime,1.5,Yes,Religious,2
Western,Maharastra,Alibaug,Alibaug Beach,Beach,4.2,Evening,1.5,Yes,Nature,0
Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,4.7,Anytime,1.0,No,Religious,2
Western,Maharastra,Nagpur,Deekshabhoomi,Monument,4.5,Afternoon,1.0,Yes,Historical,1
Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,4.8,Anytime,1.0,Yes,Religious,2
Western,Maharastra,Lonavala,Karla Caves,Cave,4.4,Afternoon,1.5,Yes,Nature,0
Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,4.6,Evening,2.0,No,Nature,0
Western,Maharashtra,Satara,Kaas Plateau,Valley,4.4,Afternoon,2.0,No,Nature,0
Western,Maharashtra,Matheran,Echo Point,Viewpoint,4.4,Morning,1.5,Yes,Nature,0
Western,Maharashtra,Ajanta,Ellora Caves,Cave,4.7,Afternoon,3.0,Yes,Nature,0
Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,4.7,Afternoon,2.0,No,Religious,2
Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,4.7,Afternoon,1.5,Yes,Historical,1
Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,4.4,Afternoon,1.0,Yes,Historical,1
Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,4.5,Morning,2.5,Yes,Historical,1
Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,4.8,Anytime,1.5,Yes,Religious,2
Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,4.5,Morning,1.0,No,Nature,0
Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,4.6,Morning,1.5,No,Nature,0
Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,4.5,Morning,3.0,No,Nature,0
Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,4.5,Morning,3.0,No,Nature,0
Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,4.8,Afternoon,1.5,No,Historical,1
Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,3.9,Afternoon,1.0,No,Historical,1
Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,4.6,Afternoon,2.0,No,Historical,1
Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,4.4,Anytime,1.0,No,Religious,2
Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,4.4,Morning,1.5,No,Nature,0
Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,4.7,Morning,1.0,Yes,Nature,0
Northern,Himachal Pradesh,Manali,Solang Valley,Valley,4.1,Morning,2.0,No,Nature,0
Northern,Himachal Pradesh,Dalhousie,Dalai Lama Temple,Temple,4.7,Anytime,1.5,Yes,Religious,2
Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,4.5,Morning,1.5,No,Nature,0
Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,4.8,Morning,1.0,No,Religious,2
Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,4.5,Anytime,3.0,No,Nature,0
Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,4.4,Morning,2.0,No,Nature,0
Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,4.5,Morning,2.0,No,Nature,0
Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,4.4,Anytime,2.0,Yes,Historical,1
Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,4.6,Morning,1.5,Yes,Nature,0
Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,4.6,Morning,1.5,No,Nature,0
Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,4.8,Anytime,2.0,No,Adventure,3
Northern,Himachal Pradesh,Mcleod Ganj,Triund Trek,Trekking,4.8,Morning,5.0,Yes,Adventure,3
Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,4.6,Morning,1.0,No,Religious,2
Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,4.5,Anytime,2.0,Yes,Nature,0
Northern,Himachal Pradesh,Barot,Barot Valley,Valley,4.7,Morning,2.0,No,Nature,0
Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,4.4,Morning,2.5,No,Nature,0
Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,3.8,Anytime,5.0,Yes,Adventure,3
Northern,Uttarakhand,Nainital,Naini Lake,Lake,4.2,Morning,1.5,Yes,Nature,0
Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,4.4,Morning,1.0,Yes,Adventure,3
Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,4.5,Anytime,1.0,Yes,Religious,2
Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,4.5,Morning,1.5,Yes,Nature,0
Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,4.2,Morning,1.5,Yes,Nature,0
Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,4.5,Morning,3.0,No,Adventure,3
Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,4.8,Anytime,1.0,No,Religious,2
Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,4.3,Anytime,2.0,No,Nature,0
Northern,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,4.0,Anytime,1.0,No,Nature,0
Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,4.4,Anytime,3.0,Yes,Nature,0
Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,4.8,Anytime,1.0,No,Religious,2
Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,4.8,Anytime,2.0,No,Religious,2
Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,4.7,Morning,5.0,No,Nature,0
Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,4.6,Morning,2.0,Yes,Historical,1
Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,4.7,Anytime,1.0,Yes,Religious,2
Central,Uttar Pradesh,Lucknow,Bara Imambara,Monument,4.4,Anytime,1.5,Yes,Historical,1
Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,4.7,Anytime,1.0,Yes,Religious,2
Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,4.8,Anytime,1.0,Yes,Religious,2
Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,4.8,Anytime,1.0,Yes,Religious,2
Central,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,4.5,Morning,1.0,Yes,Nature,0
Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,4.4,Anytime,1.5,Yes,Historical,1
Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,4.6,Anytime,1.0,Yes,Historical,1
Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,4.4,Afternoon,2.0,Yes,Historical,1
Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,4.3,Anytime,1.5,Yes,Nature,0
Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,4.1,Afternoon,1.0,Yes,Historical,1
Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,4.8,Anytime,1.0,Yes,Religious,2
Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,4.2,Anytime,2.0,Yes,Urban,4
Northern,Jammu And Kashmir,Srinagar,Dal Lake,Lake,4.6,Morning,2.0,Yes,Nature,0
Northern,Ladakh,Leh,Pangong Tso,Lake,4.9,Morning,2.0,Yes,Nature,0
Northern,Jammu And Kashmir,Pahalgam,Betaab Valley,Valley,4.6,Anytime,2.0,No,Nature,0
Northern,Jammu And Kashmir,Jammu,Vaishno Devi,Temple,4.7,Anytime,5.0,Yes,Religious,2
Northern,Jammu And Kashmir,Udhampur,Patnitop Height,Hill,4.1,Anytime,2.0,No,Nature,0
Northern,Jammu And Kashmir,Anantnag,Amarnath Cave,Temple,4.5,Anytime,6.0,No,Religious,2
Northern,Ladakh,Leh,Thiksey Monastery,Monastery,4.7,Anytime,1.5,Yes,Religious,2
Northern,Ladakh,Nubra Valley,Nubra Valley,Valley,4.5,Anytime,2.0,No,Nature,0
Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,4.8,Anytime,1.0,No,Historical,1
Northern,Ladakh,Diskit,Diskit Monastery,Monastery,4.7,Morning,1.0,No,Religious,2
Northern,Jammu And Kashmir,Kishtwar,Kishtwar National Park,National Park,4.3,Anytime,3.0,No,Nature,0
Northern,Ladakh,Hemis,Hemis National Park,National Park,4.4,Anytime,4.0,No,Nature,0
Northern,Ladakh,Dras,Dras War Memorial,War Memorial,4.8,Anytime,1.0,No,Historical,1
Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,3.7,Anytime,0.5,Yes,Nature,0
Northern,Ladakh,Leh,Khardung La Pass,Hill,4.5,Afternoon,1.0,Yes,Nature,0
Northern,Ladakh,Leh,Thiksey Monastery,Monastery,4.7,Anytime,1.5,Yes,Religious,2
Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,4.8,Evening,1.5,Yes,Religious,2
Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,4.8,Morning,1.0,Yes,Historical,1
Central,Uttar Pradesh,Mathura,Nand Gaon,Village,4.1,Morning,1.0,Yes,Nature,0
Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,4.8,Morning,1.0,Yes,Religious,2
Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,4.5,Anytime,1.0,No,Nature,0
Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,4.4,Anytime,3.0,Yes,Nature,0
Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,4.4,Anytime,4.0,No,Nature,0
Eastern,West Bengal,Digha,Digha Beach,Beach,4.5,Morning,1.5,No,Nature,0
Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,4.5,Morning,1.5,Yes,Historical,1
Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,4.7,Anytime,0.5,Yes,Religious,2
Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,4.6,Anytime,0.5,Yes,Religious,2
Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,4.4,Anytime,3.0,Yes,Nature,0
Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,4.5,Anytime,1.0,Yes,Historical,1
Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,4.5,Anytime,2.5,No,Nature,0
Eastern,Odisha,Puri,Jagannath Temple,Temple,4.7,Anytime,2.0,Yes,Religious,2
Eastern,Odisha,Konark,Sun Temple,Temple,4.7,Anytime,1.5,Yes,Religious,2
Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,4.6,Anytime,1.0,Yes,Religious,2
Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,4.5,Anytime,1.5,No,Nature,0
Eastern,Odisha,Cuttack,Barabati Fort,Fort,4.5,Anytime,1.0,Yes,Historical,1
Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,4.5,Anytime,1.0,No,Nature,0
Eastern,Odisha,Chilika,Chilika Lake,Lake,3.9,Morning,2.0,Yes,Nature,0
Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,4.6,Anytime,1.0,Yes,Religious,2
Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,4.3,Morning,1.0,No,Nature,0
Eastern,Odisha,Balasore,Chandipur Beach,Beach,4.2,Morning,1.5,Yes,Nature,0
Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,4.4,Anytime,1.0,No,Nature,0
Southern,Tamil Nadu,Chennai,Marina Beach,Beach,3.9,Morning,1.5,Yes,Nature,0
Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,4.7,Anytime,2.0,Yes,Religious,2
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,4.6,Anytime,1.5,No,Religious,2
Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,4.6,Morning,1.0,Yes,Historical,1
Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,4.1,Morning,1.0,Yes,Nature,0
Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,4.7,Anytime,1.0,Yes,Religious,2
Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,3.9,Morning,2.0,No,Nature,0
Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,4.8,Anytime,1.5,Yes,Religious,2
Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,4.6,Anytime,1.0,Yes,Religious,2
Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,4.2,Morning,1.0,No,Nature,0
Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,4.6,Anytime,1.0,Yes,Religious,2
Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,4.7,Anytime,1.0,Yes,Religious,2
Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,4.7,Anytime,1.0,Yes,Religious,2
Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,4.5,Morning,1.5,Yes,Nature,0
Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,4.7,Anytime,1.0,No,Religious,2
Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,4.3,Anytime,2.0,Yes,Nature,0
Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,4.6,Anytime,1.5,No,Historical,1
Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,4.4,Afternoon,1.5,Yes,Nature,0
Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,4.7,Anytime,1.0,Yes,Religious,2
Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,4.4,Anytime,1.0,Yes,Nature,0
Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,4.5,Morning,1.5,No,Historical,1
Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,4.7,Anytime,1.0,Yes,Religious,2
